Index,period,org_code,type,attendances,breaches,admissions
1,2017-03-01,RF4,1,21289,2879,5060
4,2017-03-01,R1H,1,30210,5902,6943
9,2017-03-01,RQM,1,17414,2030,3597
11,2017-03-01,RJ6,1,6654,1322,2202
15,2017-03-01,RVR,1,12649,473,3360
17,2017-03-01,RJ1,1,12385,2092,3181
21,2017-03-01,RQX,1,10300,635,1684
23,2017-03-01,RYJ,1,10020,2632,3270
26,2017-03-01,RJZ,1,17810,4153,4477
29,2017-03-01,RAX,1,9239,968,1839
31,2017-03-01,RJ2,1,18137,2993,4967
33,2017-03-01,R1K,1,12137,4874,4659
37,2017-03-01,RAP,1,15077,2170,2564
41,2017-03-01,RAL,1,19072,3267,3872
44,2017-03-01,RJ7,1,13430,1667,3814
47,2017-03-01,RAS,1,5838,1889,2126
51,2017-03-01,RKE,1,8528,990,1347
52,2017-03-01,RRV,1,12059,1252,2182
57,2017-03-01,RDD,1,11981,1075,2468
58,2017-03-01,RC1,1,6402,306,2022
60,2017-03-01,RQ3,1,5732,173,920
61,2017-03-01,RJF,1,5360,272,1870
63,2017-03-01,RGT,1,9567,766,3318
65,2017-03-01,RFS,1,6889,631,1996
67,2017-03-01,RDE,1,7562,651,2597
70,2017-03-01,RTG,1,11780,1773,3745
74,2017-03-01,RWH,1,9376,2290,3222
77,2017-03-01,RLT,1,6726,799,1119
80,2017-03-01,RR1,1,19628,3654,6006
83,2017-03-01,RQQ,1,3766,405,856
84,2017-03-01,RGQ,1,7321,560,1998
86,2017-03-01,RGP,1,6301,318,1242
88,2017-03-01,RNQ,1,7653,1546,2555
92,2017-03-01,RC9,1,8814,172,2650
97,2017-03-01,RQ8,1,8163,1371,2291
99,2017-03-01,RD8,1,7692,887,1468
102,2017-03-01,RM1,1,10075,1372,2612
104,2017-03-01,RGN,1,7832,993,2406
106,2017-03-01,RNS,1,9027,1336,3303
110,2017-03-01,RX1,1,15446,3187,4076
117,2017-03-01,RXK,1,14665,2828,3067
120,2017-03-01,RK5,1,8842,599,2765
122,2017-03-01,RXW,1,10371,2217,2441
126,2017-03-01,RJC,1,5572,198,1806
128,2017-03-01,RAJ,1,8595,680,2314
131,2017-03-01,RNA,1,9006,679,2425
133,2017-03-01,RQW,1,8737,1935,1835
134,2017-03-01,RCX,1,5320,496,2049
135,2017-03-01,RL4,1,11505,1651,2606
137,2017-03-01,RWD,1,13111,2737,3502
138,2017-03-01,RRK,1,10032,1543,2818
139,2017-03-01,RKB,1,11986,3213,4077
142,2017-03-01,RWE,1,12697,3227,3758
145,2017-03-01,RJE,1,15129,4019,4511
148,2017-03-01,RBK,1,6360,1986,1936
151,2017-03-01,RWG,1,8042,2644,2701
153,2017-03-01,RGR,1,5887,419,2063
154,2017-03-01,RWP,1,9976,2711,3201
156,2017-03-01,RLQ,1,4618,915,1185
158,2017-03-01,REM,1,7186,1449,2718
160,2017-03-01,RCF,1,5480,379,1078
161,2017-03-01,RBS,1,5349,216,1130
162,2017-03-01,RFF,1,7146,537,2143
163,2017-03-01,RXL,1,7064,2208,2247
165,2017-03-01,RMC,1,8492,1563,2242
167,2017-03-01,RAE,1,11362,864,3045
170,2017-03-01,RWY,1,12967,337,2628
171,2017-03-01,RW3,1,13272,2106,3890
174,2017-03-01,RLN,1,7844,795,2650
177,2017-03-01,RJR,1,6019,922,1541
179,2017-03-01,RXP,1,10733,752,3387
182,2017-03-01,RP5,1,11271,1035,3315
184,2017-03-01,RJN,1,3998,704,958
186,2017-03-01,RXR,1,8923,2562,3054
189,2017-03-01,RR7,1,7781,409,1670
191,2017-03-01,RCD,1,3975,135,988
193,2017-03-01,RWA,1,11425,690,3329
196,2017-03-01,RXN,1,5770,1793,1721
199,2017-03-01,RR8,1,18152,1844,5213
205,2017-03-01,RBT,1,5708,205,1840
207,2017-03-01,RXF,1,20398,1515,5047
208,2017-03-01,RNL,1,7821,1185,2055
209,2017-03-01,RVW,1,5840,254,1650
213,2017-03-01,RJL,1,11630,2006,2565
215,2017-03-01,RTF,1,8260,671,3975
217,2017-03-01,RW6,1,22930,4997,5328
221,2017-03-01,RQ6,1,7715,2040,2344
224,2017-03-01,RM3,1,8898,1355,2637
226,2017-03-01,RCU,1,5440,227,726
227,2017-03-01,RHQ,1,9335,2094,2861
230,2017-03-01,RTR,1,10362,558,1919
232,2017-03-01,RE9,1,5071,99,1228
234,2017-03-01,RVY,1,6542,1384,1905
